date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2025-02-05,sh.600039,6.85522706,6.8743224,6.66427366,6.71201201,6.85522706,28664435,202071517.2,2,0.4276,1,-2.0891,0
2025-02-06,sh.600039,6.73110735,6.7788457,6.66427366,6.76929803,6.71201201,22557217,158857582.79,2,0.3365,1,0.8535,0
2025-02-07,sh.600039,6.73110735,6.79794104,6.70246434,6.74065502,6.76929803,28435721,201006986.69,2,0.4242,1,-0.4231,0
2025-02-10,sh.600039,6.74065502,6.75975036,6.64517832,6.66427366,6.74065502,31957333,223376128.71,2,0.4767,1,-1.1331,0
2025-02-11,sh.600039,6.65472599,6.74065502,6.62608298,6.65472599,6.66427366,26021929,181836300.69,2,0.3882,1,-0.1433,0
2025-02-12,sh.600039,6.65472599,6.65472599,6.56879696,6.62608298,6.65472599,22367140,154608227.2,2,0.3337,1,-0.4304,0
2025-02-13,sh.600039,6.63563065,6.67382133,6.60698764,6.61653531,6.62608298,19280729,134149688.47,2,0.2876,1,-0.1441,0
2025-02-14,sh.600039,6.62608298,6.83613172,6.5878923,6.76929803,6.61653531,42683315,300850639.17,2,0.6367,1,2.3088,0
2025-02-17,sh.600039,6.76929803,6.79794104,6.683369,6.78839337,6.76929803,25174810,177952578.79,2,0.3755,1,0.2821,0
2025-02-18,sh.600039,6.78839337,6.83613172,6.70246434,6.71201201,6.78839337,16900327,119767081.41,2,0.2521,1,-1.1252,0
2025-02-19,sh.600039,6.71201201,6.75975036,6.61653531,6.65472599,6.71201201,22578833,157624493.35,2,0.3368,1,-0.8535,0
2025-02-20,sh.600039,6.61653531,6.73110735,6.56879696,6.71201201,6.65472599,23048217,160743824.74,2,0.3438,1,0.8608,0
2025-02-21,sh.600039,6.71201201,6.80748871,6.683369,6.683369,6.71201201,25938689,182754669.64,2,0.3869,1,-0.4267,0
2025-02-24,sh.600039,6.73110735,6.9697991,6.73110735,6.8743224,6.683369,41828164,301486658.56,2,0.624,1,2.8571,0
2025-02-25,sh.600039,6.8743224,6.89341774,6.75975036,6.80748871,6.8743224,25577240,183082711.4,2,0.3815,1,-0.9722,0
